[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
