[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 35]logging in ,wait pls
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\loginPage.py][line 38]successful login 
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\mainPage.py][line 31]the current page is 系统管理 
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\mainPage.py][line 31]the current page is 账号管理 
[Debug][common][D:\workspace\JCWAutoTest\testJCW\action\system\user\accountMainPage.py][line 70]dialog title is 添加账号
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\system\user\accountMainPage.py][line 76]open dailog of 添加账号 success
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\system\user\accountMainPage.py][line 101]set accountType:用户管理员 success
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\system\user\accountMainPage.py][line 109]set accountOrgId:湖北 success
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\system\user\accountMainPage.py][line 115]set accountUsername:hbadmin success
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\system\user\accountMainPage.py][line 121]set accountName:湖北管理员 success
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\system\user\accountMainPage.py][line 128]set accountPassword:11 success
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\system\user\accountMainPage.py][line 134]set accountConfiremPassword:11 success
[ERROR][common][D:\workspace\JCWAutoTest\testJCW\action\system\user\accountMainPage.py][line 168]invalid parameter oganize_ch
[ERROR][common][D:\workspace\JCWAutoTest\testJCW\action\system\user\accountMainPage.py][line 168]invalid parameter oganize_tree
[ERROR][common][D:\workspace\JCWAutoTest\testJCW\action\system\user\accountMainPage.py][line 168]invalid parameter admin_user
[ERROR][common][D:\workspace\JCWAutoTest\testJCW\action\system\user\accountMainPage.py][line 168]invalid parameter admin_pwd
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\system\user\accountMainPage.py][line 52]search hbadmin
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\mainPage.py][line 31]the current page is 系统管理 
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\mainPage.py][line 31]the current page is 权限管理 
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['id', 'system_user_button_addAccount'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['id', 'system_user_button_addAccount'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['id', 'system_user_button_addAccount'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['id', 'system_user_button_addAccount'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['id', 'system_user_button_addAccount'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['id', 'system_user_button_addAccount'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['id', 'system_user_button_addAccount'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['id', 'system_user_button_addAccount'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['id', 'system_user_button_addAccount'] ,selector2=None
[ERROR][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 27]finding element by selector1=['id', 'system_user_button_addAccount'] ,selector2=None failed
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['css_selector', '#system_user_modal_showAddAccount > div:nth-child(1) > div:nth-child(1) > button:nth-child(2)'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['css_selector', '#system_user_modal_showAddAccount > div:nth-child(1) > div:nth-child(1) > button:nth-child(2)'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['css_selector', '#system_user_modal_showAddAccount > div:nth-child(1) > div:nth-child(1) > button:nth-child(2)'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['css_selector', '#system_user_modal_showAddAccount > div:nth-child(1) > div:nth-child(1) > button:nth-child(2)'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['css_selector', '#system_user_modal_showAddAccount > div:nth-child(1) > div:nth-child(1) > button:nth-child(2)'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['css_selector', '#system_user_modal_showAddAccount > div:nth-child(1) > div:nth-child(1) > button:nth-child(2)'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['css_selector', '#system_user_modal_showAddAccount > div:nth-child(1) > div:nth-child(1) > button:nth-child(2)'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['css_selector', '#system_user_modal_showAddAccount > div:nth-child(1) > div:nth-child(1) > button:nth-child(2)'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['css_selector', '#system_user_modal_showAddAccount > div:nth-child(1) > div:nth-child(1) > button:nth-child(2)'] ,selector2=None
[ERROR][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 27]finding element by selector1=['css_selector', '#system_user_modal_showAddAccount > div:nth-child(1) > div:nth-child(1) > button:nth-child(2)'] ,selector2=None failed
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\mainPage.py][line 31]the current page is 系统管理 
[INFO][common][D:\workspace\JCWAutoTest\testJCW\action\mainPage.py][line 31]the current page is 权限管理 
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['id', 'system_authority_tree_adminDeptUser'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['id', 'system_authority_tree_adminDeptUser'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['id', 'system_authority_tree_adminDeptUser'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['id', 'system_authority_tree_adminDeptUser'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['id', 'system_authority_tree_adminDeptUser'] ,selector2=None
[INFO][common][D:\workspace\JCWAutoTest\framework\superClass\htmlElement.py][line 30]finding element by selector1=['id', 'system_authority_tree_adminDeptUser'] ,selector2=None
